source,target,source example,target example,source language,target language,source segment,url,comment
"fare gli straordinari","work overtime","La scadenza obbligò tutti a fare gli straordinari per completare il progetto.","The deadline compelled everyone to work overtime to complete the project.","it","en","","","pick up the slack, work extra hours"
"carne","meat","Il ristorante barbecue offre un'ampia selezione di piatti di carne rossa.","The barbecue restaurant offers a wide selection of red meat dishes.","it","en","","","flesh, beef"
"piccione","pigeon","Il tetto era cosparso di piume di piccione, segno della loro presenza.","The rooftop was strewn with pigeon feathers, evidence of their presence.","it","en","","","squab, bird"
"risveglio","awakening","Nel giardino, ho notato un fermento che suggeriva il risveglio della vita.","In the garden, I noticed a stirring that hinted at life awakening.","it","en","","","revival, waking"
"mammone","mama's boy","Essere un mammone non è sempre negativo; può mostrare rispetto per la famiglia.","Being a mama's boy isn't always negative; it can show respect for family.","it","en","","","mamma's boy, soy boy"
"divertente","fun","Marinare la scuola può sembrare divertente, ma può avere serie conseguenze.","Playing hooky might seem fun, but it can have serious consequences.","it","en","","","funny, entertaining"
"divertimento","fun","Gli amici inondarono il picnic nel parco di risate e divertimento.","Friends rained laughter and fun on their picnic in the park.","it","en","","","entertainment, amusement"
"cinema","cinema","Lo stile del regista va contro corrente rispetto alle tendenze del cinema mainstream.","The filmmaker's style goes against the grain of mainstream cinema trends.","it","en","","","film, movie"
"mattiniero","early riser","Un mattiniero abbraccia la bellezza dell'alba e tutta la sua tranquillità.","An early riser embraces the beauty of dawn and all its tranquility.","it","en","","","early bird, morning person"
"stachanovista","workaholic","Mamma, per favore dille che sta diventando troppo stacanovista.","Mom, please tell her she's becoming too workaholic.","it","en","","","grinder, demon for work"
"bocciare","reject","Gli insegnanti devono fare gli scrutini, decidere chi bocciare e chi premiare.","Teachers must make the ballots decide who reject and who to reward.","it","en","","","fail, flunk"
"ne conseque che","it follows that","Qui, ne consegue che il boicottaggio è per il nostro bene.","Here, it follows that the boycott is to our benefit.","it","en","","","this means that, it turns out that"
"posto che","supposing that","Andiamo a prendere un gelato, posto che il negozio sia aperto.","Let's go for ice cream, supposing that the shop is open.","it","en","","","provided that, supposing that"
"passaparola","word of mouth","Un buon servizio clienti spesso porta a una pubblicità positiva tramite passaparola.","Good customer service often leads to positive word of mouth advertising.","it","en","","","word-of-mouth, referral"
"torrefazione","roasting","Gli agricoltori locali forniscono al torrefattore i migliori chicchi biologici per la torrefazione.","The local farmers supply the roaster with the finest organic beans for roasting.","it","en","","","roastery, torrefaction"
"pregiato","precious","Il cotto fatto a mano è un materiale tanto pregiato quanto delicato.","Handmade cotto is a material as precious as it is delicate.","it","en","","","fine, valuable"
"inseguire","chase","Si sentiva ispirata a inseguire le sue ambizioni, nonostante gli ostacoli.","She felt inspired to chase her ambitions, no matter the obstacles.","it","en","","","pursue, follow"
"buttare giù","knock down","Non capisco come tu abbia fatto a buttare giù tutti quei barattoli.","I couldn't believe how you managed to knock down jug after jug.","it","en","","","throw down, tear down"
"sorseggiare","sip","Dopo cena, gli piace sorseggiare il vino mentre guarda il tramonto.","After dinner, he likes to sip wine while watching the sunset.","it","en","","","enjoy, drink"
"colazione","breakfast","Spesso prendono panini per colazione da asporto sulla strada per il lavoro.","They frequently take out breakfast sandwiches on their way to work.","it","en","","","continental breakfast, brekkie"
"utenza","user","Il tutto mantenendo al minimo le tasse e senza gravare sull'utenza portuale.","The all maintaining lessened taxes and without to weigh on the harbour user .","it","en","","","customer, audience"
"ristorante","restaurant","Il ristorante barbecue offre un'ampia selezione di piatti di carne rossa.","The barbecue restaurant offers a wide selection of red meat dishes.","it","en","","","dining, diner"
"scappare da","get away from","Ho passato così tanto tempo a cercare di scappare da te.","I spent so much time trying to get away from you.","it","en","","","escape from, run from"
"prima o poi","sooner or later","Se continui a esercitarti, prima o poi diventerai un maestro del pianoforte.","If you keep practicing, sooner or later you'll master the piano.","it","en","","","eventually, at some point"
"pilotaggio","piloting","Il controllo a terra ha fornito supporto in tempo reale al team di pilotaggio in volo.","Ground control provided real-time support for the piloting team in the air.","it","en","","","pilot, pilotage"
"selvatico","wild","Ha avuto un incontro da brividi con un animale selvatico nel bosco.","He had a frightening encounter with a wild animal in the woods.","it","en","","","feral, gamey"
"carampana","old broad","Voleva solo approfittare di un vecchia, ricca carampana.","You just wanted to cash in with a rich, old broad.","it","en","","",""
"camerino","dressing room","Hanno scelto un camerino che offriva molta luce per il trucco.","They chose a dressing room that offered plenty of light for makeup.","it","en","","","fitting room, changing room"
"lobbligo di leva","my army service","Vorrei anche sottolineare... che ho assolto l'obbligo di leva.","I'd also like to point out that... I've done my army service.","it","en","","",""
"vantarsi","boast","Ha cercato di vantarsi con nonchalance, ma è risultato arrogante.","He tried to boast casually, but it came off as arrogant.","it","en","","","brag, show off"
"voltare","turn","La sua risata contagiosa fece voltare tutta la stanza verso di lui.","His infectious laugh made the whole room turn to him.","it","en","","",""
"sfoggiare","showing off","Ha la mania di sfoggiare la sua conoscenza in classe.","She has a habit of showing off her knowledge in class.","it","en","","",""
"il verdetto finale","the final verdict","Il giudice emetterà il verdetto finale a mezzogiorno di domani.","The judge will hand down the final verdict at noon tomorrow.","it","en","","",""
"spazzaneve","snowplow","Ha scoperto che lo spazzaneve era la sua migliore difesa contro la discesa veloce.","She found that the snowplow was her best defense against speeding downhill.","it","en","","",""
"fiocco","bow","Avvolse il regalo con cura in una carta colorata e un fiocco.","He wrapped the gift tightly with bright paper and a bow.","it","en","","","ribbon, flake"
"fiocchi d'avena","oatmeal","Troverai anche un'ampia scelta di cereali, fiocchi d'avena e bagel.","You'll also find a wide selection of cereals, oatmeal and bagels.","it","en","","","oat flakes, rolled oats"
"volto","face","Ha notato l'angoscia sul suo volto durante l'evento caotico.","He noticed the distress on her face during the chaotic event.","it","en","","","countenance, visage"
"faccia","face","Il detective ha ordinato a tutti di sdraiarsi a faccia in giù per sicurezza.","The detective instructed everyone to lie face down on the ground for safety.","it","en","","","side, surface"
"tabellone","board","Per prepararmi alla partita, devo caricare il tabellone segnapunti.","To prepare for the game, I need to wind up the scoring board.","it","en","","","scoreboard, backboard"
"pasto","meal","Lo chef ha usato tutti gli ingredienti per creare un pasto delizioso.","The chef used all of the ingredients to create a delicious meal.","it","en","","","food, feed"
"camino acceso","fireplace","Abbiamo gustato un'ottima cena nella saletta con il camino acceso.","We enjoyed an excellent dinner in the room with the fireplace.","it","en","","",""
"brezza","breeze","Una brezza vagante frusciava tra le foglie, creando un'atmosfera rilassante.","A wandering breeze rustled the leaves, creating a soothing ambiance.","it","en","","","wind, gentle breeze"
"neve","snow","Sgomberarono la neve dalla pista d'atterraggio prima che l'aereo arrivasse.","They cleared the snow from the landing strip before the plane arrived.","it","en","","","snowfall, snowing"
